ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
42,Pennsylvania,PA,42001,Adams County,42001,"Adams County, Pennsylvania",518.689719079214,104604,0,43118,103,40006,420,13724,1218,1832,319,8945,580,7121,504,6187,757,21851,91,20656,24,14972,747,1764,324,1225,263,12546,230,839,201,2837,288,414,120,1878,265,4269,64,13.7,1.2,3.4,0.6,22.4,1.4,9.7,0.7,6.0,0.7,20.9,0.1,19.7,0.1,14.5,0.7,4.4,0.8,1.2,0.3,12.0,0.2,2.0,0.5,6.6,0.7,1.0,0.3,4.7,0.6,4.1,0.1,0.0606,0.0455,0.5758,0.6212,0.6061,1.9092,0.2576,0.5,0.5152,0.3636,0.3636,0.7424,2.4848,0.5152,0.6364,0.6364,0.6364,0.1515,0.4545,0.3182,0.0152,0.6818,1.6212,0.1061,6.6516,0.2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89521,4495,382,1415,194,7688,0,844,134,53,31,4,8,2214,285,328,170,11.2,1.0,1.4,0.2,7.3,0.0,0.8,0.1,0.1,0.1,0.0,0.1,2.1,0.3,0.3,0.2
42,Pennsylvania,PA,42003,Allegheny County,42003,"Allegheny County, Pennsylvania",729.953055824224,1245310,0,602734,215,545637,2171,212437,4594,33317,1562,128678,2846,43015,1568,48496,2816,242474,20,231388,0,169411,2818,29584,1393,10286,915,286900,1147,85504,1975,4315,490,4710,478,69137,2022,35074,264,17.5,0.4,4.9,0.2,23.6,0.5,4.8,0.2,3.9,0.2,19.5,0.1,18.6,0.0,13.7,0.2,5.5,0.3,0.9,0.1,23.0,0.1,14.2,0.3,0.7,0.1,0.8,0.1,12.7,0.4,2.8,0.0,0.2727,0.4697,0.697,0.0303,0.1061,1.5758,0.1818,0.2424,0.197,0.2121,0.697,0.6515,2.0,0.1667,0.8636,0.8636,0.8636,0.9545,0.0303,0.1515,0.9848,0.4848,2.6059,0.5455,7.0453,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1395135,60879,2136,156588,1932,29272,0,50668,1060,819,138,163,49,44383,2315,5007,834,11.2,0.4,12.6,0.2,2.4,0.0,4.1,0.1,0.1,0.1,0.0,0.1,3.6,0.2,0.4,0.1
42,Pennsylvania,PA,42005,Armstrong County,42005,"Armstrong County, Pennsylvania",653.320741293994,65538,0,32172,65,27767,366,12318,935,1614,235,5203,417,3674,291,2694,406,14993,48,12429,0,10903,526,966,160,202,107,2627,245,1077,165,3197,268,210,56,2012,250,750,29,19.0,1.4,5.1,0.7,18.7,1.5,7.6,0.6,4.1,0.6,22.9,0.1,19.0,0.0,16.8,0.8,3.5,0.6,0.3,0.2,4.0,0.4,3.4,0.5,9.9,0.8,0.8,0.2,7.2,0.9,1.1,0.0,0.4091,0.5303,0.0758,0.3182,0.1667,1.5001,0.1667,0.803,0.2576,0.6818,0.0758,0.1818,2.0,0.1667,0.0303,0.0303,0.0303,0.3788,0.6818,0.1515,0.4697,0.0606,1.7424,0.1667,5.2728,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49251,4562,329,689,137,560,0,235,31,7,7,0,27,1121,294,15,17,16.4,1.2,1.1,0.2,0.9,0.0,0.4,0.1,0.0,0.1,0.0,0.1,1.7,0.4,0.0,0.1
42,Pennsylvania,PA,42007,Beaver County,42007,"Beaver County, Pennsylvania",434.69479578113,167629,0,79104,205,71999,583,28245,1534,4760,550,15753,843,6585,672,6474,730,36827,78,32405,0,26345,1054,3753,466,581,203,20228,399,4464,467,2722,261,544,190,6113,535,2866,39,17.1,0.9,5.6,0.6,21.9,1.2,5.3,0.5,3.9,0.4,22.0,0.1,19.3,0.0,15.8,0.6,5.2,0.6,0.4,0.1,12.1,0.2,5.7,0.6,3.4,0.3,0.7,0.2,8.5,0.7,1.7,0.0,0.2273,0.7424,0.5303,0.0758,0.1061,1.6819,0.197,0.7273,0.3788,0.5,0.5909,0.303,2.5,0.5303,0.6515,0.6515,0.6515,0.6667,0.197,0.1061,0.6818,0.2727,1.9243,0.2273,6.7577,0.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145407,9678,690,10028,497,3227,0,838,110,74,42,6,8,5823,606,232,106,13.4,1.0,6.0,0.3,1.9,0.0,0.5,0.1,0.0,0.1,0.0,0.1,3.5,0.4,0.1,0.1
42,Pennsylvania,PA,42009,Bedford County,42009,"Bedford County, Pennsylvania",1012.24363849663,47613,0,23547,64,19571,348,9947,728,990,182,3970,384,3385,267,3478,437,10958,46,9200,24,7616,516,794,127,85,84,1858,108,767,143,3258,277,154,40,1131,183,465,20,21.2,1.5,4.3,0.8,20.3,1.9,9.7,0.8,7.4,0.9,23.0,0.1,19.3,0.1,16.1,1.1,4.1,0.6,0.2,0.2,3.9,0.2,3.2,0.6,13.8,1.2,0.8,0.2,5.8,0.9,1.0,0.0,0.5909,0.2121,0.3485,0.6212,0.8333,2.606,0.5152,0.8333,0.3788,0.5909,0.1818,0.0606,2.0454,0.2121,0.0152,0.0152,0.0152,0.303,0.8939,0.1515,0.2424,0.0455,1.6363,0.1212,6.3029,0.1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40851,3575,266,343,42,598,0,210,44,47,23,0,24,612,130,48,32,18.3,1.3,0.7,0.1,1.3,0.0,0.4,0.1,0.1,0.1,0.0,0.1,1.3,0.3,0.1,0.1
42,Pennsylvania,PA,42011,Berks County,42011,"Berks County, Pennsylvania",856.40215696613,428483,0,170678,111,161174,777,78139,2914,12012,859,41661,1742,34864,1260,26926,1805,75145,12,94539,47,60271,1979,10442,745,17470,1234,133808,702,11775,883,4631,410,2354,351,13985,979,13340,165,18.8,0.7,5.4,0.4,25.8,1.1,11.9,0.4,6.3,0.4,17.5,0.1,22.1,0.1,14.2,0.5,6.4,0.5,4.3,0.3,31.2,0.2,6.9,0.5,2.7,0.2,1.5,0.2,8.7,0.6,3.1,0.0,0.3939,0.6515,0.8788,0.8788,0.6364,3.4394,0.8788,0.0758,0.8939,0.2879,0.8636,0.9697,3.0909,0.8939,0.9091,0.9091,0.9091,0.7727,0.1515,0.7424,0.7121,0.5455,2.9242,0.7879,10.3636,0.9545,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,415563,21545,1180,17122,760,99460,0,5503,343,216,83,62,56,9842,993,1603,593,13.4,0.7,4.0,0.2,23.2,0.0,1.3,0.1,0.1,0.1,0.0,0.1,2.3,0.2,0.4,0.1
42,Pennsylvania,PA,42013,Blair County,42013,"Blair County, Pennsylvania",525.291098410316,122640,0,55808,68,50587,505,25728,1344,2508,363,11288,745,6152,551,6590,656,25616,111,24732,0,18686,1044,2842,310,327,116,8272,529,3548,431,4019,497,316,100,4292,446,3578,92,21.6,1.1,4.2,0.6,22.3,1.5,7.0,0.6,5.4,0.5,20.9,0.1,20.2,0.0,15.5,0.9,5.7,0.6,0.3,0.1,6.7,0.4,6.4,0.8,7.2,0.9,0.6,0.2,8.5,0.9,2.9,0.1,0.6212,0.197,0.5606,0.2121,0.4848,2.0757,0.2879,0.5,0.6212,0.4545,0.7727,0.1818,2.5302,0.5455,0.3182,0.3182,0.3182,0.7576,0.5,0.0606,0.6818,0.5152,2.5152,0.4545,7.4393,0.3485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127440,8321,559,2198,268,1721,0,688,172,79,61,21,30,3421,601,144,84,16.4,1.1,1.8,0.2,1.4,0.0,0.6,0.1,0.1,0.1,0.0,0.1,2.8,0.5,0.1,0.1
42,Pennsylvania,PA,42015,Bradford County,42015,"Bradford County, Pennsylvania",1147.375009907108,60159,0,29443,83,24361,300,13342,711,1307,225,5167,362,3982,366,4133,462,13080,59,13208,0,8482,511,1134,198,199,108,3152,211,1074,247,4068,295,437,106,1820,310,709,22,22.5,1.2,4.8,0.8,21.2,1.5,9.4,0.9,6.9,0.8,21.7,0.1,22.0,0.0,14.2,0.9,4.7,0.8,0.4,0.2,5.2,0.4,3.6,0.8,13.8,1.0,1.8,0.4,7.5,1.3,1.2,0.0,0.7121,0.4091,0.4242,0.5606,0.7879,2.8939,0.6515,0.6667,0.8788,0.2879,0.4545,0.303,2.5909,0.5758,0.1061,0.1061,0.1061,0.4394,0.8939,0.8182,0.5455,0.0909,2.7879,0.6818,8.3788,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54591,3797,287,428,103,946,0,352,91,36,23,38,47,1083,143,269,191,15.6,1.2,0.7,0.2,1.6,0.0,0.6,0.2,0.1,0.1,0.1,0.1,1.8,0.2,0.4,0.3
42,Pennsylvania,PA,42017,Bucks County,42017,"Bucks County, Pennsylvania",604.366942459476,645163,0,255599,177,246834,807,60263,3045,16525,1184,51723,1776,24680,1524,25693,1962,125555,21,129300,42,68290,1874,11905,851,12502,1170,118112,1500,25990,1113,4857,510,3131,480,11697,798,9199,83,9.5,0.5,4.6,0.3,21.0,0.7,5.3,0.3,4.0,0.3,19.5,0.1,20.0,0.1,10.7,0.3,4.9,0.3,2.0,0.2,18.3,0.2,10.1,0.4,1.9,0.2,1.3,0.2,4.7,0.3,1.4,0.0,0.0,0.3333,0.4091,0.0758,0.1515,0.9697,0.0758,0.2424,0.5909,0.0455,0.4848,0.8636,2.2272,0.3636,0.7576,0.7576,0.7576,0.8788,0.0606,0.6061,0.0152,0.1667,1.7274,0.1515,5.6819,0.1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598119,16929,952,23715,997,38195,0,31498,948,262,110,62,42,20478,1555,3902,1368,6.9,0.4,3.7,0.2,5.9,0.0,4.9,0.1,0.0,0.1,0.0,0.1,3.2,0.2,0.6,0.2
42,Pennsylvania,PA,42019,Butler County,42019,"Butler County, Pennsylvania",789.485895790146,194562,0,85479,106,79466,602,25887,1624,4715,642,15177,872,6050,519,6496,757,38240,51,37837,0,25158,1232,2834,354,761,219,12578,422,6594,522,6113,378,439,141,4575,461,5328,76,13.7,0.9,4.7,0.6,19.1,1.1,4.3,0.4,3.4,0.4,19.7,0.1,19.4,0.0,13.1,0.6,3.6,0.4,0.4,100.0,6.5,0.2,7.7,0.6,7.2,0.4,0.6,0.2,5.8,0.6,2.7,0.0,0.0606,0.3788,0.1364,0.0,0.0303,0.6061,0.0,0.2879,0.4091,0.1515,0.1061,0.303,1.2576,0.0303,0.303,0.303,0.303,0.8333,0.5,0.0606,0.2424,0.4394,2.0757,0.2879,4.2424,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197982,8688,580,2088,263,3391,0,2756,244,48,16,9,13,3826,418,460,250,10.9,0.7,1.1,0.1,1.7,0.0,1.4,0.1,0.0,0.1,0.0,0.1,2.0,0.2,0.2,0.1
