ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
42,PENNSYLVANIA,PA,Butler,42019,"Butler County, Pennsylvania",788.5945311,186566,0,82455,271,76240,632,14952,996,4118,445,36383,553,7163,505,33045,79,38197,26,22629,841,4635,429,9603,128,383,147,5962,437,7209,443,586,155,4879,332,5675,605,8.3,0.5,4.2,0.5,36383.0,553.0,5.4,0.4,17.7,0.1,20.5,0.0,12.3,0.5,6.1,0.6,5.1,0.1,0.2,0.1,7.2,0.5,8.7,0.5,0.8,0.2,6.4,0.4,3.0,0.3,0.0606,0.1515,0.0758,0.0,0.2879,0.0,0.2273,0.6515,0.1212,0.1212,1.1212,0.1061,0.2727,0.0606,0.3333,0.1515,0.8182,0.5909,0.1212,0.2727,0.5152,2.3182,0.5,4.0606,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6549,580,3.5,0.3,177730
42,PENNSYLVANIA,PA,Elk,42047,"Elk County, Pennsylvania",827.3609889,30608,0,17759,68,13727,229,2962,435,604,150,28476,1021,1721,212,6452,37,6007,74,4853,347,1072,190,781,8,46,78,442,104,1223,167,92,59,1010,166,406,101,9.8,1.4,3.8,0.9,28476.0,1021.0,7.7,0.9,21.1,0.1,19.6,0.2,16.0,1.1,7.8,1.4,2.6,0.0,0.2,0.3,2.5,0.6,6.9,0.9,0.7,0.4,7.4,1.2,1.3,0.3,0.1364,0.0909,0.4091,0.197,0.8334,0.1212,0.7879,0.3333,0.5152,0.5152,2.1516,0.5455,0.0,0.0606,0.0606,0.0,0.197,0.4545,0.0606,0.4394,0.0909,1.2424,0.0152,4.288,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,189,3.1,0.6,30027
42,PENNSYLVANIA,PA,Westmoreland,42129,"Westmoreland County, Pennsylvania",1028.0397173,354751,0,170218,269,151665,902,34762,1507,7989,496,32916,434,15637,705,76650,60,65987,37,53865,1586,9620,570,21469,142,1044,248,8514,577,9815,569,861,175,11286,601,8079,528,10.0,0.4,4.4,0.3,32916.0,434.0,6.0,0.3,21.6,0.1,18.6,0.0,15.3,0.5,6.3,0.4,6.1,0.0,0.3,0.1,5.0,0.3,5.8,0.3,0.6,0.1,7.4,0.4,2.3,0.1,0.1515,0.197,0.1667,0.0606,0.5758,0.0758,0.8788,0.1667,0.3788,0.1364,1.5607,0.2273,0.3485,0.1515,0.5,0.2424,0.6212,0.3788,0.0303,0.4394,0.3333,1.803,0.1818,4.4395,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13485,1045,3.8,0.3,312839
42,PENNSYLVANIA,PA,Bucks,42017,"Bucks County, Pennsylvania",604.4276995,626370,0,249732,373,237383,1075,37423,1928,15665,753,44103,424,27363,1216,110321,20,130567,42,67859,1563,14198,798,97394,475,10009,785,26929,925,4803,342,2700,368,11394,706,9454,838,6.1,0.3,4.5,0.2,44103.0,424.0,6.1,0.3,17.6,0.1,20.8,0.0,10.9,0.3,6.0,0.3,15.5,0.1,1.7,0.1,10.8,0.4,1.9,0.1,1.1,0.2,4.8,0.3,1.5,0.1,0.0,0.2424,0.0303,0.0758,0.3485,0.0303,0.2121,0.697,0.0455,0.0909,1.0455,0.0455,0.7273,0.803,1.5303,0.7727,0.9242,0.0606,0.4394,0.0606,0.1818,1.6666,0.1212,4.5909,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,26385,1923,4.3,0.3,550358
42,PENNSYLVANIA,PA,Wyoming,42131,"Wyoming County, Pennsylvania",397.3051499,27588,0,13503,108,10784,225,2805,293,802,108,28810,933,1397,119,5433,25,5478,55,3729,243,881,114,1187,10,28,65,144,37,1589,128,94,34,483,76,737,185,10.5,1.1,5.8,0.8,28810.0,933.0,7.1,0.6,19.7,0.1,19.9,0.2,13.6,0.9,8.2,1.0,4.3,0.0,0.1,0.2,1.1,0.3,11.8,1.0,0.9,0.3,4.5,0.7,2.7,0.7,0.2576,0.5909,0.3485,0.1212,1.3182,0.2424,0.5303,0.4394,0.2576,0.6364,1.8637,0.3182,0.2121,0.0152,0.2273,0.0909,0.0455,0.803,0.1515,0.0152,0.4545,1.4697,0.0455,4.8789,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,180,4.8,0.7,22802
42,PENNSYLVANIA,PA,Perry,42099,"Perry County, Pennsylvania",551.4480259,45924,0,20784,76,18091,236,3848,433,887,154,29685,697,4056,264,8002,47,9960,18,6392,389,1360,172,2034,38,168,87,354,66,2495,225,215,57,906,123,609,141,8.5,1.0,3.7,0.7,29685.0,697.0,12.5,0.8,17.4,0.1,21.7,0.0,14.1,0.9,7.5,0.9,4.4,0.1,0.4,0.2,1.7,0.3,12.0,1.1,1.2,0.3,5.0,0.7,1.3,0.3,0.0758,0.0606,0.303,0.7727,1.2121,0.197,0.197,0.7727,0.303,0.4545,1.7272,0.303,0.2273,0.2879,0.5152,0.2727,0.0758,0.8182,0.5303,0.0758,0.0909,1.591,0.0909,5.0455,0.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101,433,9.0,1.0,29294
42,PENNSYLVANIA,PA,Washington,42125,"Washington County, Pennsylvania",856.9883918,207547,0,95508,224,84100,695,18777,955,5381,444,34244,652,10551,550,40748,99,40817,0,30125,896,5566,429,15890,110,652,185,4967,364,5501,370,804,190,6397,514,5340,494,9.3,0.5,5.1,0.4,34244.0,652.0,7.1,0.4,19.6,0.1,19.7,0.0,14.6,0.4,6.6,0.5,7.7,0.1,0.3,0.1,5.2,0.4,5.8,0.4,1.0,0.2,7.6,0.6,2.6,0.2,0.1212,0.4091,0.1061,0.1212,0.7576,0.1061,0.5152,0.3636,0.3636,0.2121,1.4545,0.1667,0.4848,0.1515,0.6363,0.3333,0.6818,0.3788,0.2879,0.4848,0.3939,2.2272,0.4242,5.0756,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8304,676,4.0,0.3,192957
42,PENNSYLVANIA,PA,Cumberland,42041,"Cumberland County, Pennsylvania",545.4990921,247433,0,105204,285,98877,801,17327,1293,4982,603,36012,632,13275,798,44001,61,50175,35,27908,995,6682,563,33956,150,3020,432,7445,523,4561,371,912,183,5869,487,13197,640,7.4,0.6,3.8,0.5,36012.0,632.0,7.7,0.5,17.8,0.1,20.3,0.0,11.6,0.4,6.8,0.6,13.7,0.1,1.3,0.2,7.1,0.5,4.3,0.4,0.9,0.2,5.9,0.5,5.3,0.3,0.0455,0.0909,0.0909,0.197,0.4243,0.0606,0.2424,0.5758,0.0606,0.2727,1.1515,0.1212,0.6818,0.697,1.3788,0.7121,0.803,0.2727,0.1515,0.2121,0.7576,2.1969,0.3788,5.1515,0.1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13870,953,5.8,0.4,254807
42,PENNSYLVANIA,PA,Pike,42103,"Pike County, Pennsylvania",544.9602864,55498,0,38982,58,21871,530,5476,590,1991,285,33111,1239,2897,361,11899,159,10320,9,9506,707,1469,240,10707,102,775,287,368,98,1310,221,189,78,872,166,375,109,10.0,1.1,7.4,1.1,33111.0,1239.0,7.1,0.9,21.4,0.3,18.6,0.0,17.2,1.3,6.7,1.1,19.3,0.2,1.4,0.5,0.9,0.3,3.4,0.6,0.9,0.4,4.0,0.7,0.7,0.2,0.1515,0.9545,0.1515,0.1212,1.3787,0.2576,0.8485,0.1667,0.7273,0.2576,2.0001,0.4697,0.8333,0.7424,1.5757,0.7879,0.0,0.1818,0.1515,0.0,0.0152,0.3485,0.0,5.303,0.1212,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3287,579,6.0,1.1,42426
42,PENNSYLVANIA,PA,Chester,42029,"Chester County, Pennsylvania",750.5239785,517156,0,199050,360,189592,816,34217,2017,12306,767,48225,649,23654,1129,79856,96,119547,35,44752,1308,11373,717,104275,227,11470,946,19859,792,5448,456,2514,312,8841,619,14354,906,6.8,0.4,4.4,0.3,48225.0,649.0,6.7,0.3,15.4,0.1,23.1,0.0,8.7,0.3,6.0,0.4,20.2,0.0,2.4,0.2,10.0,0.4,2.7,0.2,1.3,0.2,4.7,0.3,2.8,0.2,0.0303,0.197,0.0,0.0909,0.3182,0.0152,0.0303,0.9848,0.0,0.0909,1.106,0.0909,0.8485,0.9394,1.7879,0.9394,0.8939,0.1364,0.5909,0.0455,0.4848,2.1515,0.3182,5.3636,0.1364,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,30463,1892,5.9,0.4,493371
