ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
42,Pennsylvania,PA,42001,Adams,42001,"Adams County, Pennsylvania",518.689719851418,102627,0,42525,147,39628,449,13573,996,2049,325,9088,587,7788,602,5656,595,20884,98,20663,0,13860,846,1719,274,1318,236,11624,434,821,169,2882,281,468,125,1726,249,4140,376,13.8,1.0,3.9,0.6,22.9,1.5,10.8,0.8,5.6,0.6,20.3,0.1,20.1,0.0,13.7,0.8,4.3,0.7,1.4,0.2,11.3,0.4,1.9,0.4,6.8,0.7,1.2,0.3,4.4,0.6,4.0,0.4,0.0758,0.1212,0.5303,0.7273,0.5152,1.9698,0.2424,0.4848,0.5909,0.2576,0.2273,0.7576,2.3182,0.3788,0.6515,0.6515,0.6515,0.1515,0.4394,0.4091,0.0,0.6667,1.6667,0.1212,6.6062,0.2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87436,11769,1076,1381,236,7356,0,705,123,80,57,0,26,1899,281,203,203,11.9,0.0,1.3,0.2,7.2,0.0,0.7,0.1,0.1,0.1,0.0,0.1,1.9,0.3,0.2,0.2
42,Pennsylvania,PA,42003,Allegheny,42003,"Allegheny County, Pennsylvania",729.953564320558,1218380,0,602416,636,545695,2040,212117,4900,32041,1491,133524,2935,45708,1713,46333,2197,230745,78,228296,49,163671,2838,29689,1261,9553,878,269795,2997,82729,1977,4147,520,4697,507,72338,1970,33976,1322,17.9,0.4,4.9,0.2,24.5,0.5,5.2,0.2,3.8,0.2,18.9,0.1,18.7,0.0,13.6,0.2,5.4,0.2,0.8,0.1,22.1,0.2,13.7,0.3,0.7,0.1,0.9,0.1,13.3,0.4,2.8,0.1,0.2727,0.4242,0.697,0.0152,0.1061,1.5152,0.1667,0.2727,0.197,0.2273,0.6364,0.6515,1.9849,0.2121,0.8636,0.8636,0.8636,0.9545,0.0303,0.1818,0.9848,0.4697,2.6211,0.5606,6.9848,0.2879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1370275,119020,3634,156233,1276,26607,0,47431,741,1141,200,310,94,32242,1585,5831,5831,10.0,0.0,12.8,0.1,2.2,0.0,3.9,0.1,0.1,0.1,0.0,0.1,2.6,0.1,0.5,0.1
42,Pennsylvania,PA,42005,Armstrong,42005,"Armstrong County, Pennsylvania",653.320741293994,65356,0,32852,115,28035,377,13566,923,1735,267,5719,393,3973,305,2632,391,14496,46,12516,9,11431,572,1159,182,130,93,2096,175,1180,196,3289,290,238,75,2058,241,795,221,21.0,1.4,5.5,0.9,20.4,1.4,8.2,0.6,4.1,0.6,22.2,0.1,19.2,0.0,17.6,0.9,4.1,0.6,0.2,0.1,3.2,0.3,3.6,0.6,10.0,0.9,0.8,0.3,7.3,0.8,1.2,0.3,0.5303,0.6818,0.2424,0.2424,0.1364,1.8333,0.197,0.7879,0.2576,0.7727,0.1515,0.0909,2.0606,0.2273,0.0303,0.0303,0.0303,0.4242,0.6818,0.0909,0.4545,0.0758,1.7272,0.1515,5.6514,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49962,10336,787,566,102,520,0,201,31,16,14,0,26,770,135,23,23,16.0,0.1,0.9,0.2,0.8,0.0,0.3,0.1,0.0,0.1,0.0,0.1,1.2,0.2,0.0,0.1
42,Pennsylvania,PA,42007,Beaver,42007,"Beaver County, Pennsylvania",434.694797325538,164781,0,79587,202,72086,655,28766,1441,4249,524,15764,867,7546,640,6242,600,35351,83,31915,0,25878,928,4167,417,606,231,18205,885,4563,429,3012,368,693,223,5824,511,2933,440,17.7,0.9,5.1,0.6,21.9,1.2,6.2,0.5,3.8,0.4,21.5,0.1,19.4,0.0,15.8,0.6,5.8,0.6,0.4,0.1,11.0,0.5,5.7,0.5,3.8,0.5,1.0,0.3,8.1,0.7,1.8,0.3,0.2424,0.5,0.4394,0.1061,0.1061,1.394,0.1364,0.7121,0.3333,0.5,0.7424,0.2879,2.5757,0.5758,0.6364,0.6364,0.6364,0.697,0.2121,0.2576,0.5909,0.2879,2.0455,0.2576,6.6516,0.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142784,20000,1281,9691,537,2789,0,757,152,107,64,51,48,4718,673,92,92,12.4,0.0,5.9,0.3,1.7,0.0,0.5,0.1,0.1,0.1,0.0,0.1,2.9,0.4,0.1,0.1
42,Pennsylvania,PA,42009,Bedford,42009,"Bedford County, Pennsylvania",1012.240951612812,48154,0,24405,88,19930,337,10130,786,1033,232,3952,314,3996,317,3310,395,10950,42,9386,11,7797,376,681,110,64,75,1672,239,635,116,3491,291,217,52,961,129,481,161,21.4,1.7,4.5,1.0,19.8,1.5,11.3,0.9,6.9,0.8,22.7,0.1,19.5,0.0,16.3,0.8,3.4,0.5,0.1,0.2,3.5,0.5,2.6,0.5,14.3,1.2,1.1,0.3,4.8,0.6,1.0,0.3,0.5606,0.2576,0.197,0.8182,0.7424,2.5758,0.5455,0.8788,0.3939,0.5909,0.0455,0.0303,1.9394,0.1667,0.0455,0.0455,0.0455,0.197,0.9091,0.3333,0.0455,0.0455,1.5304,0.0455,6.0911,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,40992,8209,541,494,149,597,0,84,82,58,42,0,23,408,154,31,31,17.2,0.1,1.0,0.3,1.2,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.8,0.3,0.1,0.1
42,Pennsylvania,PA,42011,Berks,42011,"Berks County, Pennsylvania",856.402155807824,419062,0,167514,333,156389,684,77317,2719,12196,1038,40982,1624,36488,1356,25627,1807,72293,45,93714,44,57961,1699,10507,728,16570,1127,123611,1535,11010,716,4628,382,1878,267,13331,855,13171,867,19.0,0.7,5.6,0.5,26.2,1.0,12.8,0.5,6.2,0.4,17.3,0.1,22.4,0.0,14.0,0.4,6.7,0.5,4.2,0.3,29.5,0.4,6.6,0.4,2.8,0.2,1.2,0.2,8.5,0.5,3.1,0.2,0.3788,0.697,0.8636,0.9091,0.6667,3.5152,0.9242,0.0909,0.9091,0.3333,0.8636,0.9697,3.1666,0.9091,0.9242,0.9242,0.9242,0.7727,0.1515,0.4091,0.6818,0.5455,2.5606,0.5152,10.1666,0.9545,0,0,0,1,0,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,4,408105,44846,2882,16772,737,91381,0,5779,254,260,141,87,59,7509,838,1823,1823,11.0,0.0,4.0,0.2,21.8,0.0,1.4,0.1,0.1,0.1,0.0,0.1,1.8,0.2,0.4,0.2
42,Pennsylvania,PA,42013,Blair,42013,"Blair County, Pennsylvania",525.275578654324,122495,3,56960,228,51647,622,27397,1701,2765,438,12146,752,7292,679,6155,628,25372,115,24920,19,20278,999,3096,400,388,128,7120,639,3629,399,4094,467,451,128,4216,375,3289,507,22.9,1.4,4.7,0.7,23.5,1.4,8.3,0.8,5.1,0.5,20.7,0.1,20.3,0.0,16.8,0.8,6.0,0.8,0.3,0.1,5.8,0.5,6.4,0.7,7.2,0.8,0.9,0.2,8.2,0.7,2.7,0.4,0.6818,0.3636,0.5909,0.2727,0.3939,2.3029,0.3636,0.5606,0.6212,0.6667,0.7879,0.1667,2.8031,0.697,0.2879,0.2879,0.2879,0.7576,0.5,0.1818,0.6061,0.4394,2.4849,0.4848,7.8788,0.5152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126734,16990,1317,2104,203,1549,2,723,106,178,93,54,58,2382,558,130,130,14.3,0.1,1.7,0.2,1.3,0.1,0.6,0.1,0.1,0.1,0.0,0.1,1.9,0.5,0.1,0.1
42,Pennsylvania,PA,42015,Bradford,42015,"Bradford County, Pennsylvania",1147.473286379678,60721,0,30691,134,25084,331,13731,1138,1331,235,5520,402,4395,362,3992,457,12948,41,13358,0,8731,507,1397,212,172,93,2733,232,1011,181,4419,259,472,114,2086,323,736,296,22.9,1.9,4.7,0.9,22.0,1.6,10.2,0.8,6.6,0.8,21.3,0.1,22.0,0.0,14.5,0.8,5.6,0.8,0.3,0.2,4.5,0.4,3.3,0.6,14.4,0.9,1.9,0.5,8.3,1.3,1.2,0.5,0.6818,0.3636,0.4545,0.6061,0.7121,2.8181,0.6667,0.6818,0.8333,0.3485,0.6818,0.1667,2.7121,0.6364,0.1515,0.1515,0.1515,0.3485,0.9242,0.8939,0.6364,0.0758,2.8788,0.7576,8.5605,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,55039,7556,735,389,93,887,0,377,59,47,29,54,68,822,127,157,157,12.6,0.1,0.6,0.2,1.5,0.0,0.6,0.1,0.1,0.1,0.1,0.1,1.4,0.2,0.3,0.2
42,Pennsylvania,PA,42017,Bucks,42017,"Bucks County, Pennsylvania",604.366942459476,627668,0,251373,326,240763,1126,59899,3223,14477,1056,57197,2233,25651,1306,25208,1879,117271,9,128008,53,65389,2085,11396,947,11502,1026,108989,4056,25508,1137,4764,527,2916,415,11711,895,9462,725,9.7,0.5,4.2,0.3,23.8,0.9,5.7,0.3,4.1,0.3,18.7,0.1,20.4,0.0,10.5,0.3,4.7,0.4,1.9,0.2,17.4,0.6,10.1,0.5,1.9,0.2,1.2,0.2,4.9,0.4,1.5,0.1,0.0,0.1818,0.6212,0.0758,0.1364,1.0152,0.0606,0.2273,0.6515,0.0455,0.3485,0.8182,2.091,0.2576,0.7576,0.7576,0.7576,0.8939,0.0606,0.4091,0.0758,0.1667,1.6061,0.0758,5.4699,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580964,38004,2663,23291,1100,34670,0,30047,969,408,139,145,93,14426,1804,6002,6002,6.1,0.0,3.7,0.2,5.5,0.0,4.8,0.2,0.1,0.1,0.0,0.1,2.3,0.3,1.0,0.5
42,Pennsylvania,PA,42019,Butler,42019,"Butler County, Pennsylvania",789.485896176248,187798,0,84106,391,77725,681,24141,1312,4498,613,15043,802,6118,468,6151,621,35240,103,37577,0,23833,1112,2934,390,449,153,10567,542,6609,578,6464,447,489,197,4978,469,5592,731,13.2,0.7,4.6,0.6,19.4,1.0,4.6,0.3,3.3,0.3,18.8,0.1,20.0,0.0,12.8,0.6,3.8,0.5,0.3,0.1,5.6,0.3,7.9,0.7,7.7,0.5,0.6,0.3,6.4,0.6,3.0,0.4,0.0606,0.3182,0.1212,0.0,0.0455,0.5455,0.0,0.2576,0.5758,0.1212,0.0909,0.1667,1.2122,0.0303,0.2576,0.2576,0.2576,0.8485,0.5455,0.0303,0.3182,0.5152,2.2577,0.3939,4.273,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190261,16464,1452,1849,225,2971,0,2435,257,73,38,17,28,3002,395,220,220,9.0,0.0,1.0,0.1,1.6,0.0,1.3,0.1,0.0,0.1,0.0,0.1,1.6,0.2,0.1,0.1
